id,slug,source,projectPath,projectExists,thumbnailPath,thumbnailExists,entryType,entryHtml,entryExists,missingReasons,githubUrl,updatedAt
systems-operations-hero-component-v2,systems-operations-hero-component-v2,exports,animations/operations/systems-operations-hero-component-v2,true,animations/operations/systems-operations-hero-component-v2/preview.png,true,html,animations/operations/systems-operations-hero-component-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/systems-operations-hero-component-v2,2026-03-23T20:00:00.000Z
revenue-systems-data-flow-v2,revenue-systems-data-flow-v2,exports,animations/operations/revenue-systems-data-flow-v2,true,animations/operations/revenue-systems-data-flow-v2/preview.png,true,html,animations/operations/revenue-systems-data-flow-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/revenue-systems-data-flow-v2,2026-03-23T20:00:00.000Z
pipeline-command-center-v2,pipeline-command-center-v2,exports,animations/operations/pipeline-command-center-v2,true,animations/operations/pipeline-command-center-v2/preview.png,true,html,animations/operations/pipeline-command-center-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/pipeline-command-center-v2,2026-04-10T12:15:33.481Z
martech-ai-dashboard-engine-v2,martech-ai-dashboard-engine-v2,exports,animations/operations/martech-ai-dashboard-engine-v2,true,animations/operations/martech-ai-dashboard-engine-v2/preview.png,true,html,animations/operations/martech-ai-dashboard-engine-v2/martechtile-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/martech-ai-dashboard-engine-v2,2026-03-23T20:00:00.000Z
marketingai-neural-dashboard-v2,marketingai-neural-dashboard-v2,exports,animations/operations/marketingai-neural-dashboard-v2,true,animations/operations/marketingai-neural-dashboard-v2/preview.png,true,html,animations/operations/marketingai-neural-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/marketingai-neural-dashboard-v2,2026-04-10T12:15:33.483Z
marketingai-intelligence-dashboard-v2,marketingai-intelligence-dashboard-v2,exports,animations/operations/marketingai-intelligence-dashboard-v2,true,animations/operations/marketingai-intelligence-dashboard-v2/preview.png,true,html,animations/operations/marketingai-intelligence-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/marketingai-intelligence-dashboard-v2,2026-04-10T12:15:33.484Z
marketing-revenue-analytics-v2,marketing-revenue-analytics-v2,exports,animations/operations/marketing-revenue-analytics-v2,true,animations/operations/marketing-revenue-analytics-v2/preview.png,true,html,animations/operations/marketing-revenue-analytics-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/marketing-revenue-analytics-v2,2026-04-10T12:15:33.485Z
marketing-operations-workflow-tile-v2,marketing-operations-workflow-tile-v2,exports,animations/operations/marketing-operations-workflow-tile-v2,true,animations/operations/marketing-operations-workflow-tile-v2/preview.png,true,html,animations/operations/marketing-operations-workflow-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/marketing-operations-workflow-tile-v2,2026-03-23T20:00:00.000Z
marketing-analytics-carousel-v3,marketing-analytics-carousel-v3,exports,animations/operations/marketing-analytics-carousel-v3,true,animations/operations/marketing-analytics-carousel-v3/preview.png,true,html,animations/operations/marketing-analytics-carousel-v3/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/marketing-analytics-carousel-v3,2026-03-23T20:00:00.000Z
live-email-automation-ecosystem-v3,live-email-automation-ecosystem-v3,exports,animations/operations/live-email-automation-ecosystem-v3,true,animations/operations/live-email-automation-ecosystem-v3/preview.png,true,html,animations/operations/live-email-automation-ecosystem-v3/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/live-email-automation-ecosystem-v3,2026-03-23T20:00:00.000Z
live-email-automation-ecosystem-v2,live-email-automation-ecosystem-v2,exports,animations/operations/live-email-automation-ecosystem-v2,true,animations/operations/live-email-automation-ecosystem-v2/preview.png,true,tsx,,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/live-email-automation-ecosystem-v2,2026-03-23T20:00:00.000Z
lifecycle-engine-dashboard-v2,lifecycle-engine-dashboard-v2,exports,animations/operations/lifecycle-engine-dashboard-v2,true,animations/operations/lifecycle-engine-dashboard-v2/preview.png,true,html,animations/operations/lifecycle-engine-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/lifecycle-engine-dashboard-v2,2026-04-10T12:15:33.490Z
enterprise-sales-motion-dashboard-v2,enterprise-sales-motion-dashboard-v2,exports,animations/operations/enterprise-sales-motion-dashboard-v2,true,animations/operations/enterprise-sales-motion-dashboard-v2/preview.png,true,html,animations/operations/enterprise-sales-motion-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/operations/enterprise-sales-motion-dashboard-v2,2026-04-10T12:15:33.490Z
utilities-command-center-tile-v2,utilities-command-center-tile-v2,exports,animations/industries/utilities-command-center-tile-v2,true,animations/industries/utilities-command-center-tile-v2/preview.png,true,html,animations/industries/utilities-command-center-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/utilities-command-center-tile-v2,2026-03-23T20:00:00.000Z
telco-ai-infrastructure-tile-v2,telco-ai-infrastructure-tile-v2,exports,animations/industries/telco-ai-infrastructure-tile-v2,true,animations/industries/telco-ai-infrastructure-tile-v2/preview.png,true,html,animations/industries/telco-ai-infrastructure-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/telco-ai-infrastructure-tile-v2,2026-03-23T20:00:00.000Z
student-lifecycle-analytics-dashboard-v2,student-lifecycle-analytics-dashboard-v2,exports,animations/industries/student-lifecycle-analytics-dashboard-v2,true,animations/industries/student-lifecycle-analytics-dashboard-v2/preview.png,true,html,animations/industries/student-lifecycle-analytics-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/student-lifecycle-analytics-dashboard-v2,2026-03-23T20:00:00.000Z
scalability-telemetry-radar-v2,scalability-telemetry-radar-v2,exports,animations/industries/scalability-telemetry-radar-v2,true,animations/industries/scalability-telemetry-radar-v2/preview.png,true,html,animations/industries/scalability-telemetry-radar-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/scalability-telemetry-radar-v2,2026-03-23T20:00:00.000Z
saas-premium-analytics-component-v2,saas-premium-analytics-component-v2,exports,animations/industries/saas-premium-analytics-component-v2,false,animations/industries/saas-premium-analytics-component-v2/preview.png,false,html,animations/industries/saas-premium-analytics-component-v2/app-v2.html,false,project_missing|thumbnail_missing|entry_missing,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/saas-premium-analytics-component-v2,2026-03-23T20:00:00.000Z
retail-pulse-analytics-tile-v2,retail-pulse-analytics-tile-v2,exports,animations/industries/retail-pulse-analytics-tile-v2,true,animations/industries/retail-pulse-analytics-tile-v2/preview.png,true,html,animations/industries/retail-pulse-analytics-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/retail-pulse-analytics-tile-v2,2026-03-23T20:00:00.000Z
powergrid-digital-modernization-dashboard-v2,powergrid-digital-modernization-dashboard-v2,exports,animations/industries/powergrid-digital-modernization-dashboard-v2,true,animations/industries/powergrid-digital-modernization-dashboard-v2/preview.png,true,html,animations/industries/powergrid-digital-modernization-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/powergrid-digital-modernization-dashboard-v2,2026-03-23T20:00:00.000Z
oil-gas-performance-tile-component-v2,oil-gas-performance-tile-component-v2,exports,animations/industries/oil-gas-performance-tile-component-v2,true,animations/industries/oil-gas-performance-tile-component-v2/preview.png,true,html,animations/industries/oil-gas-performance-tile-component-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/oil-gas-performance-tile-component-v2,2026-03-23T20:00:00.000Z
nexus-industrial-dashboard-v2,nexus-industrial-dashboard-v2,exports,animations/industries/nexus-industrial-dashboard-v2,true,animations/industries/nexus-industrial-dashboard-v2/preview.png,true,html,animations/industries/nexus-industrial-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/nexus-industrial-dashboard-v2,2026-03-23T20:00:00.000Z
manufacturinghero-dashboard-tile-v2,manufacturinghero-dashboard-tile-v2,exports,animations/industries/manufacturinghero-dashboard-tile-v2,true,animations/industries/manufacturinghero-dashboard-tile-v2/preview.png,true,html,animations/industries/manufacturinghero-dashboard-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/manufacturinghero-dashboard-tile-v2,2026-03-23T20:00:00.000Z
manufacturing-hero-dashboard-tile-v2,manufacturing-hero-dashboard-tile-v2,exports,animations/industries/manufacturing-hero-dashboard-tile-v2,true,animations/industries/manufacturing-hero-dashboard-tile-v2/preview.png,true,html,animations/industries/manufacturing-hero-dashboard-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/manufacturing-hero-dashboard-tile-v2,2026-03-23T20:00:00.000Z
manufacturing-agency-dashboard-v2,manufacturing-agency-dashboard-v2,exports,animations/industries/manufacturing-agency-dashboard-v2,true,animations/industries/manufacturing-agency-dashboard-v2/preview.png,true,html,animations/industries/manufacturing-agency-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/manufacturing-agency-dashboard-v2,2026-03-23T20:00:00.000Z
industrial-roi-dashboard-v2,industrial-roi-dashboard-v2,exports,animations/industries/industrial-roi-dashboard-v2,true,animations/industries/industrial-roi-dashboard-v2/preview.png,true,html,animations/industries/industrial-roi-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/industrial-roi-dashboard-v2,2026-04-10T12:15:33.502Z
grid-master-cyber-infrastructure-dashboard-v2,grid-master-cyber-infrastructure-dashboard-v2,exports,animations/industries/grid-master-cyber-infrastructure-dashboard-v2,true,animations/industries/grid-master-cyber-infrastructure-dashboard-v2/preview.png,true,html,animations/industries/grid-master-cyber-infrastructure-dashboard-v2/utilitiestile-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/grid-master-cyber-infrastructure-dashboard-v2,2026-03-23T20:00:00.000Z
fleetoptima-driver-performance-tile-v2,fleetoptima-driver-performance-tile-v2,exports,animations/industries/fleetoptima-driver-performance-tile-v2,true,animations/industries/fleetoptima-driver-performance-tile-v2/preview.png,true,html,animations/industries/fleetoptima-driver-performance-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/fleetoptima-driver-performance-tile-v2,2026-03-23T20:00:00.000Z
fleet-roi-calculator-v2,fleet-roi-calculator-v2,exports,animations/industries/fleet-roi-calculator-v2,true,animations/industries/fleet-roi-calculator-v2/preview.png,true,html,animations/industries/fleet-roi-calculator-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/fleet-roi-calculator-v2,2026-03-23T20:00:00.000Z
fintech-growth-studio-animated-sales-tile-v2,fintech-growth-studio-animated-sales-tile-v2,exports,animations/industries/fintech-growth-studio-animated-sales-tile-v2,true,animations/industries/fintech-growth-studio-animated-sales-tile-v2/preview.png,true,html,animations/industries/fintech-growth-studio-animated-sales-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/fintech-growth-studio-animated-sales-tile-v2,2026-03-23T20:00:00.000Z
fintech-growth-animated-sales-tile-v3,fintech-growth-animated-sales-tile-v3,exports,animations/industries/fintech-growth-animated-sales-tile-v3,true,animations/industries/fintech-growth-animated-sales-tile-v3/preview.png,true,html,animations/industries/fintech-growth-animated-sales-tile-v3/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/fintech-growth-animated-sales-tile-v3,2026-03-23T20:00:00.000Z
finservtile-interactive-financial-data-visualization-v2,finservtile-interactive-financial-data-visualization-v2,exports,animations/industries/finservtile-interactive-financial-data-visualization-v2,true,animations/industries/finservtile-interactive-financial-data-visualization-v2/preview.png,true,html,animations/industries/finservtile-interactive-financial-data-visualization-v2/finservtile-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/finservtile-interactive-financial-data-visualization-v2,2026-03-23T20:00:00.000Z
financial-technology-growth-tile-v2,financial-technology-growth-tile-v2,exports,animations/industries/financial-technology-growth-tile-v2,true,animations/industries/financial-technology-growth-tile-v2/preview.png,true,html,animations/industries/financial-technology-growth-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/financial-technology-growth-tile-v2,2026-03-23T20:00:00.000Z
industries-enterprise-sales-motion-dashboard-v2,industries-enterprise-sales-motion-dashboard-v2,exports,animations/industries/enterprise-sales-motion-dashboard-v2,true,animations/industries/enterprise-sales-motion-dashboard-v2/preview.png,true,html,animations/industries/enterprise-sales-motion-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/enterprise-sales-motion-dashboard-v2,2026-03-23T20:00:00.000Z
engineering-excellence-workflow-system-v2,engineering-excellence-workflow-system-v2,exports,animations/industries/engineering-excellence-workflow-system-v2,true,animations/industries/engineering-excellence-workflow-system-v2/preview.png,true,html,animations/industries/engineering-excellence-workflow-system-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/engineering-excellence-workflow-system-v2,2026-03-23T20:00:00.000Z
energyflow-minimal-dashboard-v2,energyflow-minimal-dashboard-v2,exports,animations/industries/energyflow-minimal-dashboard-v2,true,animations/industries/energyflow-minimal-dashboard-v2/preview.png,true,html,animations/industries/energyflow-minimal-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/energyflow-minimal-dashboard-v2,2026-03-23T20:00:00.000Z
education-journey-k-12-ecosystem-v2,education-journey-k-12-ecosystem-v2,exports,animations/industries/education-journey-k-12-ecosystem-v2,true,animations/industries/education-journey-k-12-ecosystem-v2/preview.png,true,html,animations/industries/education-journey-k-12-ecosystem-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/education-journey-k-12-ecosystem-v2,2026-03-23T20:00:00.000Z
edu-marketers-dashboard-v2,edu-marketers-dashboard-v2,exports,animations/industries/edu-marketers-dashboard-v2,true,animations/industries/edu-marketers-dashboard-v2/preview.png,true,html,animations/industries/edu-marketers-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/edu-marketers-dashboard-v2,2026-03-23T20:00:00.000Z
edu-hero-analytics-dashboard-v2,edu-hero-analytics-dashboard-v2,exports,animations/industries/edu-hero-analytics-dashboard-v2,true,animations/industries/edu-hero-analytics-dashboard-v2/preview.png,true,html,animations/industries/edu-hero-analytics-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/edu-hero-analytics-dashboard-v2,2026-03-23T20:00:00.000Z
edtech-compact-roi-funnel-v3,edtech-compact-roi-funnel-v3,exports,animations/industries/edtech-compact-roi-funnel-v3,true,animations/industries/edtech-compact-roi-funnel-v3/preview.png,true,html,animations/industries/edtech-compact-roi-funnel-v3/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/edtech-compact-roi-funnel-v3,2026-03-23T20:00:00.000Z
edtech-compact-roi-funnel-v2,edtech-compact-roi-funnel-v2,exports,animations/industries/edtech-compact-roi-funnel-v2,true,animations/industries/edtech-compact-roi-funnel-v2/preview.png,true,tsx,,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/edtech-compact-roi-funnel-v2,2026-03-23T20:00:00.000Z
dynamic-wealth-dashboard-tile-v2,dynamic-wealth-dashboard-tile-v2,exports,animations/industries/dynamic-wealth-dashboard-tile-v2,true,animations/industries/dynamic-wealth-dashboard-tile-v2/preview.png,true,html,animations/industries/dynamic-wealth-dashboard-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/dynamic-wealth-dashboard-tile-v2,2026-03-23T20:00:00.000Z
devmarketers-bottom-up-adoption-loop-v2,devmarketers-bottom-up-adoption-loop-v2,exports,animations/industries/devmarketers-bottom-up-adoption-loop-v2,true,animations/industries/devmarketers-bottom-up-adoption-loop-v2/preview.png,true,html,animations/industries/devmarketers-bottom-up-adoption-loop-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/devmarketers-bottom-up-adoption-loop-v2,2026-03-23T20:00:00.000Z
devconsole-content-workflow-v2,devconsole-content-workflow-v2,exports,animations/industries/devconsole-content-workflow-v2,true,animations/industries/devconsole-content-workflow-v2/preview.png,true,html,animations/industries/devconsole-content-workflow-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/devconsole-content-workflow-v2,2026-03-23T20:00:00.000Z
cyberagency-lifecycle-engine-v2,cyberagency-lifecycle-engine-v2,exports,animations/industries/cyberagency-lifecycle-engine-v2,true,animations/industries/cyberagency-lifecycle-engine-v2/preview.png,true,html,animations/industries/cyberagency-lifecycle-engine-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/cyberagency-lifecycle-engine-v2,2026-03-23T20:00:00.000Z
clinical-validation-surface-dash-v2,clinical-validation-surface-dash-v2,exports,animations/industries/clinical-validation-surface-dash-v2,true,animations/industries/clinical-validation-surface-dash-v2/preview.png,true,html,animations/industries/clinical-validation-surface-dash-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/clinical-validation-surface-dash-v2,2026-03-23T20:00:00.000Z
clinical-holographic-control-surface-v2,clinical-holographic-control-surface-v2,exports,animations/industries/clinical-holographic-control-surface-v2,true,animations/industries/clinical-holographic-control-surface-v2/preview.png,true,html,animations/industries/clinical-holographic-control-surface-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/clinical-holographic-control-surface-v2,2026-03-23T20:00:00.000Z
b2b-consulting-portfolio-gtmstack-pro,b2b-consulting-portfolio-gtmstack-pro,exports,animations/industries/b2b-consulting-portfolio-gtmstack-pro,true,animations/industries/b2b-consulting-portfolio-gtmstack-pro/preview.png,true,html,animations/industries/b2b-consulting-portfolio-gtmstack-pro/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/b2b-consulting-portfolio-gtmstack-pro,2026-03-23T20:00:00.000Z
automotivehero-growth-dashboard-tile-v2,automotivehero-growth-dashboard-tile-v2,exports,animations/industries/automotivehero-growth-dashboard-tile-v2,true,animations/industries/automotivehero-growth-dashboard-tile-v2/preview.png,true,html,animations/industries/automotivehero-growth-dashboard-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/automotivehero-growth-dashboard-tile-v2,2026-03-23T20:00:00.000Z
automotivehero-dashboard-component-v2,automotivehero-dashboard-component-v2,exports,animations/industries/automotivehero-dashboard-component-v2,true,animations/industries/automotivehero-dashboard-component-v2/preview.png,true,html,animations/industries/automotivehero-dashboard-component-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/automotivehero-dashboard-component-v2,2026-03-23T20:00:00.000Z
automotive-hero-dashboard-component-v2,automotive-hero-dashboard-component-v2,exports,animations/industries/automotive-hero-dashboard-component-v2,true,animations/industries/automotive-hero-dashboard-component-v2/preview.png,true,html,animations/industries/automotive-hero-dashboard-component-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/automotive-hero-dashboard-component-v2,2026-03-23T20:00:00.000Z
aerospace-auto-engineering-workflow-v2,aerospace-auto-engineering-workflow-v2,exports,animations/industries/aerospace-auto-engineering-workflow-v2,true,animations/industries/aerospace-auto-engineering-workflow-v2/preview.png,true,html,animations/industries/aerospace-auto-engineering-workflow-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/industries/aerospace-auto-engineering-workflow-v2,2026-03-23T20:00:00.000Z
social-media-marketing-hero-tile-v2,social-media-marketing-hero-tile-v2,exports,animations/events-media/social-media-marketing-hero-tile-v2,true,animations/events-media/social-media-marketing-hero-tile-v2/preview.png,true,html,animations/events-media/social-media-marketing-hero-tile-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/events-media/social-media-marketing-hero-tile-v2,2026-03-23T20:00:00.000Z
executive-logistics-dashboard-v3,executive-logistics-dashboard-v3,exports,animations/events-media/executive-logistics-dashboard-v3,true,animations/events-media/executive-logistics-dashboard-v3/preview.png,true,html,animations/events-media/executive-logistics-dashboard-v3/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/events-media/executive-logistics-dashboard-v3,2026-03-23T20:00:00.000Z
executive-logistics-dashboard-v2,executive-logistics-dashboard-v2,exports,animations/events-media/executive-logistics-dashboard-v2,true,animations/events-media/executive-logistics-dashboard-v2/preview.png,true,tsx,,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/events-media/executive-logistics-dashboard-v2,2026-03-23T20:00:00.000Z
eventpulse-enterprise-dashboard-v2,eventpulse-enterprise-dashboard-v2,exports,animations/events-media/eventpulse-enterprise-dashboard-v2,true,animations/events-media/eventpulse-enterprise-dashboard-v2/preview.png,true,html,animations/events-media/eventpulse-enterprise-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/events-media/eventpulse-enterprise-dashboard-v2,2026-03-23T20:00:00.000Z
event-roi-analytics-dashboard-v2,event-roi-analytics-dashboard-v2,exports,animations/events-media/event-roi-analytics-dashboard-v2,true,animations/events-media/event-roi-analytics-dashboard-v2/preview.png,true,html,animations/events-media/event-roi-analytics-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/events-media/event-roi-analytics-dashboard-v2,2026-03-23T20:00:00.000Z
event-pulse-enterprise-dashboard-v2,event-pulse-enterprise-dashboard-v2,exports,animations/events-media/event-pulse-enterprise-dashboard-v2,true,animations/events-media/event-pulse-enterprise-dashboard-v2/preview.png,true,html,animations/events-media/event-pulse-enterprise-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/events-media/event-pulse-enterprise-dashboard-v2,2026-03-23T20:00:00.000Z
eoc-logistics-dashboard-v2,eoc-logistics-dashboard-v2,exports,animations/events-media/eoc-logistics-dashboard-v2,true,animations/events-media/eoc-logistics-dashboard-v2/preview.png,true,html,animations/events-media/eoc-logistics-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/events-media/eoc-logistics-dashboard-v2,2026-03-23T20:00:00.000Z
agency-performance-console-v2,agency-performance-console-v2,exports,animations/events-media/agency-performance-console-v2,true,animations/events-media/agency-performance-console-v2/preview.png,true,html,animations/events-media/agency-performance-console-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/events-media/agency-performance-console-v2,2026-03-23T20:00:00.000Z
agency-impact-dashboard-v2,agency-impact-dashboard-v2,exports,animations/events-media/agency-impact-dashboard-v2,true,animations/events-media/agency-impact-dashboard-v2/preview.png,true,html,animations/events-media/agency-impact-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/events-media/agency-impact-dashboard-v2,2026-03-23T20:00:00.000Z
video-marketing-analytics-dashboard-v2,video-marketing-analytics-dashboard-v2,exports,animations/digital-demand/video-marketing-analytics-dashboard-v2,true,animations/digital-demand/video-marketing-analytics-dashboard-v2/preview.png,true,html,animations/digital-demand/video-marketing-analytics-dashboard-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/digital-demand/video-marketing-analytics-dashboard-v2,2026-03-23T20:00:00.000Z
video-marketing-ai-distribution-hub-v2,video-marketing-ai-distribution-hub-v2,exports,animations/digital-demand/video-marketing-ai-distribution-hub-v2,true,animations/digital-demand/video-marketing-ai-distribution-hub-v2/preview.png,true,html,animations/digital-demand/video-marketing-ai-distribution-hub-v2/app-v2.html,true,,https://github.com/finlin67/GTMStack-Animations/tree/main/animations/digital-demand/video-marketing-ai-distribution-hub-v2,2026-03-23T20:00:00.000Z
